1293858000 44.8 6.1 3.1 0.0 2253
1293944400 48.3 6.2 2.4 0.01 996
1294030800 33.7 10.0 8.5 0.0 1138
1294117200 33.9 9.9 5.6 0.0 1300
1294203600 35.6 10.0 5.6 0.0 1364
1294290000 30.1 10.0 2.3 0.0 1356
1294376400 31.4 5.6 4.1 0.0 1332
1294462800 26.9 8.0 3.0 0.19 1183
1294549200 28.0 9.6 9.1 0.0 1011
1294635600 28.4 10.0 8.2 0.0 1191
1294722000 27.2 10.0 4.8 0.0 1296
1294808400 27.3 4.9 9.3 0.66 1045
1294894800 25.6 10.0 9.7 0.61 1250
1294981200 22.0 10.0 5.5 0.0 1359
1295067600 28.4 9.6 4.5 0.0 1390
1295154000 33.4 9.8 6.4 0.0 1116
1295240400 24.2 10.0 5.8 0.0 1084
1295326800 31.3 3.8 9.0 0.4 1215
1295413200 37.5 7.5 4.2 0.93 1388
1295499600 32.6 10.0 6.4 0.01 1420
1295586000 28.8 7.2 6.9 0.4 1373
1295672400 18.7 10.0 5.7 0.01 1221
1295758800 19.4 10.0 7.3 0.0 1035
1295845200 12.6 10.0 6.0 0.0 1071
1295931600 28.6 7.3 3.9 0.0 1237
1296018000 32.1 4.2 6.6 0.05 1071
1296104400 31.9 3.4 4.1 1.95 945
1296190800 31.6 7.5 3.1 0.09 1246
1296277200 31.8 6.1 3.9 0.0 1201
1296363600 32.5 6.8 4.5 0.01 1073
1296450000 27.3 10.0 5.0 0.0 1097
1296536400 26.8 4.4 7.2 0.06 1501
1296622800 30.8 3.6 6.3 0.57 1165
1296709200 30.5 10.0 9.2 0.24 1320
1296795600 28.3 10.0 5.4 0.0 1459
1296882000 33.4 5.7 4.0 0.0 1274
1296968400 40.0 9.0 7.6 0.21 1104
1297054800 39.4 9.3 3.8 0.0 1212
1297141200 36.3 7.2 9.0 0.23 1222
1297227600 21.5 10.0 8.9 0.01 1335
1297314000 26.3 10.0 6.5 0.0 1411
1297400400 26.5 10.0 5.8 0.0 1526
1297486800 34.2 10.0 6.7 0.0 1368
1297573200 35.4 10.0 6.5 0.0 1133
1297659600 48.0 10.0 10.2 0.0 1236
1297746000 32.9 10.0 12.1 0.0 1428
1297832400 34.7 10.0 4.0 0.0 1453
1297918800 51.1 9.8 4.3 0.0 1491
1298005200 57.0 9.3 4.2 0.0 1569
1298091600 44.3 10.0 13.2 0.0 1290
1298178000 28.0 10.0 9.8 0.0 1130
1298264400 32.1 6.3 6.0 0.25 1068
1298350800 25.1 10.0 7.2 0.09 1233
1298437200 29.3 10.0 3.7 0.0 1254
1298523600 36.5 10.0 3.3 0.0 1264
1298610000 44.6 5.4 3.8 0.62 1325
1298696400 35.5 10.0 4.4 0.75 1355
1298782800 42.4 9.9 6.2 0.0 1228
1298869200 47.3 7.4 6.4 0.21 1184
1298955600 39.6 10.0 7.2 0.23 1683
1299042000 42.0 10.0 8.4 0.0 1444
1299128400 26.6 10.0 5.8 0.0 1322
1299214800 32.9 10.0 6.4 0.0 1500
1299301200 48.0 9.9 7.6 0.01 1443
1299387600 51.8 6.8 6.3 1.08 1075
1299474000 44.1 6.9 9.6 1.02 1164
1299560400 37.5 10.0 5.1 0.0 1359
1299646800 38.0 10.0 7.3 0.0 1401
1299733200 43.1 7.1 9.6 0.0 1304
1299819600 50.9 6.1 8.0 1.97 1572
1299906000 45.5 10.0 7.3 0.01 1505
1299992400 48.7 10.0 8.3 0.0 1162
1300075200 41.7 10.0 4.8 0.0 1240
1300161600 39.7 10.0 4.3 0.0 1480
1300248000 43.0 8.0 3.9 0.41 1332
1300334400 53.2 10.0 3.3 0.15 1391
1300420800 61.3 10.0 7.9 0.0 1579
1300507200 51.5 10.0 7.4 0.0 1406
1300593600 40.7 10.0 5.3 0.0 1235
1300680000 40.8 6.2 5.4 0.11 1146
1300766400 45.1 8.3 6.3 0.35 1398
1300852800 36.5 4.9 5.5 0.44 1261
1300939200 35.1 7.4 6.1 0.52 1365
1301025600 35.1 10.0 6.4 0.09 1515
1301112000 32.0 10.0 7.3 0.0 1256
1301198400 34.0 10.0 7.0 0.0 1127
1301284800 34.9 10.0 8.2 0.0 1243
1301371200 38.9 10.0 7.8 0.0 1191
1301457600 43.0 10.0 4.2 0.0 1357
1301544000 41.0 9.3 7.9 0.01 1311
1301630400 38.4 7.7 6.4 0.18 1682
1301716800 45.8 10.0 8.8 0.13 1435
1301803200 49.5 10.0 8.3 0.0 1245
1301889600 51.6 9.5 5.3 0.06 1285
1301976000 53.8 8.5 7.8 0.01 1367
1302062400 44.7 9.6 7.1 0.15 1454
1302148800 44.5 9.6 5.3 0.11 1463
1302235200 45.8 9.3 4.1 0.02 1471
1302321600 47.2 8.0 4.7 0.0 1473
1302408000 50.1 10.0 3.2 0.0 1236
1302494400 60.6 7.7 5.6 0.0 1340
1302580800 61.2 8.8 8.2 0.0 1281
1302667200 46.3 4.4 11.2 1.46 1347
1302753600 55.9 9.2 4.9 0.01 1549
1302840000 51.5 10.0 7.7 0.0 1616
1302926400 44.5 8.3 9.8 0.0 1213
1303012800 54.9 8.1 9.3 1.78 1192
1303099200 53.8 10.0 6.2 0.33 1295
1303185600 50.5 9.7 4.6 0.0 1245
1303272000 50.8 6.4 6.1 0.03 1413
1303358400 55.5 9.4 8.4 0.0 1384
1303444800 45.2 10.0 6.2 0.0 1396
1303531200 49.6 5.4 6.2 0.0 1285
1303617600 65.1 7.5 3.4 0.55 1145
1303704000 63.4 4.4 3.0 0.5 1203
1303790400 65.8 6.0 5.3 0.0 1374
1303876800 67.4 9.8 5.7 0.0 1427
1303963200 64.3 8.3 6.3 0.0 1360
1304049600 64.4 10.0 5.6 0.31 1519
1304136000 57.4 10.0 5.2 0.0 1358
1304222400 58.3 10.0 3.9 0.0 1464
1304308800 54.9 10.0 4.8 0.0 1288
1304395200 61.5 9.6 5.4 0.0 1464
1304481600 56.0 8.0 4.6 0.0 1323
1304568000 54.4 10.0 8.4 0.5 1383
1304654400 59.9 10.0 4.6 0.0 1545
1304740800 62.0 10.0 5.2 0.0 1363
1304827200 61.9 10.0 4.5 0.0 1167
1304913600 62.4 10.0 5.9 0.0 1380
1305000000 62.5 10.0 5.3 0.0 1550
1305086400 59.4 10.0 5.1 0.0 1544
1305172800 61.2 10.0 3.9 0.0 1555
1305259200 58.0 10.0 2.9 0.0 1612
1305345600 59.8 10.0 4.1 0.0 1336
1305432000 61.1 4.5 3.8 0.5 1255
1305518400 58.8 2.8 6.2 0.39 1279
1305604800 54.9 5.1 10.7 0.6 1300
1305691200 58.7 4.7 8.0 0.85 1430
1305777600 64.1 4.3 3.9 1.57 1513
1305864000 61.0 4.8 1.6 0.0 1655
1305950400 63.7 5.7 2.4 0.24 1449
1306036800 57.0 4.7 4.0 0.07 1243
1306123200 59.0 7.3 5.1 0.0 1319
1306209600 71.8 5.4 4.5 0.1 1479
1306296000 74.0 9.9 3.0 0.0 1520
